Product,Category,Rating,Review,Platform,Date,Sentiment_score,Issue,RSI
Samsung Charger 25W,Accessories,5.0,good evidence often someone break woman,flipkart,2024-03-21,0.4404,none,0.06
Samsung Galaxy Tab S7 FE,Smartphone,4.0,waste of money create decade do,amazon,2023-06-06,-0.1779,general_issue,0.40616
Samsung Galaxy A54,Smartphone,5.0,bad once watch her someone reality job,FLIPKART,2022-01-07,-0.5423,general_issue,0.47692
Samsung Galaxy Tab S7 FE,Smartphone,2.0,average medical involve thousand why take vote issue battery draining fast,flipkart,2023-03-23,0.0,battery,0.485
Samsung Buds Live,Accessories,5.0,not great man other game,FLIPKART,2022-05-30,-0.5096,none,0.26384
Samsung Galaxy M53,Smartphone,4.0,not great down color should world city cold job,flipkart,2022-04-03,-0.5096,none,0.33884000000000003
Samsung Galaxy Tab A8,Smartphone,4.0,waste of money check program story claim police,FLIPKART,2024-05-17,-0.4215,general_issue,0.5036
Samsung Galaxy A54,Smartphone,1.0,excellent product very satisfied,FLIPKART,2023-12-07,0.7778,none,0.36
Samsung Galaxy Z Fold5,Smartphone,1.0,not as expected returning it,FLIPKART,2022-05-11,0.0,none,0.36
Samsung Galaxy M34,Smartphone,5.0,bad interview send sport choice situation leg,FLIPKART,2022-05-04,-0.5423,general_issue,0.47692
Samsung Galaxy S22,Smartphone,4.0,not great toward offer scientist single table,flipkart,2022-05-22,-0.5096,none,0.33884000000000003
Samsung Charger 25W,Accessories,3.0,good issue overheating issue,amazon,2024-08-24,0.4404,heating,0.41
Samsung Galaxy Book 2,Smartphone,5.0,average paper century once option purpose memory,flipkart,2022-03-06,0.0,software,0.26
Samsung Galaxy A34,Smartphone,5.0,average already behind expect minute key,flipkart,2023-08-11,0.0,none,0.06
Samsung Buds 2,Accessories,1.0,bad issue slow performance,amazon,2024-04-17,-0.5423,performance,0.77692
Samsung Galaxy Tab A8,Smartphone,4.0,excellent full decade world himself read mr,amazon,2023-01-04,0.5719,none,0.135
Samsung Galaxy A34,Smartphone,4.0,worth it affect quality capital win,amazon,2022-10-05,0.6908,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,2.0,not great concern soldier short short issue overheating issue,amazon,2024-05-10,-0.5096,heating,0.6888400000000001
Samsung Galaxy Book 3,Smartphone,4.0,bad develop town religious ever tonight claim,AMAZON,2024-02-06,-0.5423,general_issue,0.55192
Samsung Galaxy Tab S7 FE,Smartphone,1.0,worth it movie day these,flipkart,2024-02-23,0.2263,none,0.36
Samsung Galaxy M14,Smartphone,3.0,excellent less husband task message class player else,amazon,2024-07-07,0.5719,none,0.21
Samsung Galaxy Z Fold5,Smartphone,3.0,very durable and reliable,FLIPKART,2024-02-13,0.0,none,0.21
Samsung Galaxy M53,Smartphone,2.0,good issue camera quality is poor,AMAZON,2024-02-09,-0.0516,camera,0.50564
Samsung Galaxy A34,Smartphone,5.0,waste of money loss despite approach provide experience marriage write,flipkart,2022-06-14,-0.6249,software,0.50996
Samsung Galaxy M34,Smartphone,3.0,worth it century floor remain yourself issue display flickering,AMAZON,2022-09-30,0.2263,display,0.41
Samsung Galaxy A34,Smartphone,3.0,excellent issue camera quality is poor,AMAZON,2023-12-14,0.1531,camera,0.41
Samsung Galaxy A54,Smartphone,4.0,good provide attack region between such into,amazon,2022-08-31,-0.0516,none,0.15564
Samsung Galaxy Tab A8,Smartphone,4.0,excellent cost tree chance sure above month,amazon,2023-01-01,0.7906,software,0.335
Samsung Refrigerator,Other,4.0,good for basic usage,FLIPKART,2024-03-15,0.4404,none,0.135
Samsung Galaxy S23,Smartphone,5.0,waste of money middle eat sell not,AMAZON,2024-12-19,-0.4215,general_issue,0.42860000000000004
Samsung Galaxy M53,Smartphone,4.0,good cup time find adult affect,flipkart,2022-09-18,0.4404,none,0.135
Samsung Galaxy Book 2,Smartphone,5.0,worth it well candidate source would picture possible financial,flipkart,2023-04-02,0.4588,camera,0.26
Samsung Charger 25W,Accessories,3.0,excellent security particularly pass marriage dark hit certainly issue camera quality is poor,AMAZON,2022-01-08,0.6597,camera,0.41
Samsung Buds Live,Accessories,4.0,good rate action arm,FLIPKART,2022-02-16,0.4404,none,0.135
Samsung Galaxy A34,Smartphone,5.0,waste of money unit across popular career law religious eight,FLIPKART,2023-09-04,0.0,software,0.26
Samsung Galaxy A34,Smartphone,4.0,not great democrat couple religious indicate value,amazon,2024-08-06,-0.2249,none,0.22496
Samsung Galaxy S21 FE,Smartphone,1.0,bad something together enough but decide anything however issue charging problem,flipkart,2024-05-18,-0.7003,battery,0.84012
Samsung Charger 25W,Accessories,4.0,worth it treatment final theory spend responsibility itself nature,FLIPKART,2024-12-25,0.2263,none,0.135
Samsung Galaxy Book 2,Smartphone,3.0,bad music sometimes with huge join single question happy issue charging problem,AMAZON,2024-02-16,0.25,battery,0.41
Samsung Galaxy Book 2,Smartphone,4.0,good worker hard firm result miss almost,FLIPKART,2023-04-16,0.2263,software,0.335
Samsung Charger 25W,Accessories,1.0,bad meeting ground campaign executive issue slow performance,FLIPKART,2023-05-22,-0.5423,performance,0.77692
Samsung Galaxy M14,Smartphone,4.0,worth it be material side although base manage,AMAZON,2024-08-01,0.2263,build_quality,0.335
Samsung Galaxy Book 2,Smartphone,4.0,waste of money mention must fine,AMAZON,2023-12-10,-0.25,general_issue,0.435
Samsung Charger 25W,Accessories,4.0,average vote five medical exist common trial,FLIPKART,2022-11-14,0.0,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,4.0,excellent personal trip me charge also example,amazon,2023-07-19,0.5719,battery,0.335
Samsung Galaxy S21 FE,Smartphone,4.0,average,flipkart,2023-01-22,0.0,none,0.135
Samsung Galaxy M14,Smartphone,1.0,good size support heart even pick someone issue overheating issue,AMAZON,2022-08-20,0.6808,heating,0.56
Samsung Galaxy A14,Smartphone,5.0,good crime admit student return easy go lead,amazon,2022-03-07,0.4767,none,0.06
Samsung Galaxy Book 3,Smartphone,4.0,average police present own cold social,AMAZON,2024-05-08,0.0,none,0.135
Samsung Galaxy A34,Smartphone,4.0,bad human effect space kitchen system federal this debate,amazon,2022-02-02,-0.5423,general_issue,0.55192
Samsung Galaxy Book 2,Smartphone,3.0,waste of money go table worry seat its up issue battery draining fast,FLIPKART,2023-05-08,-0.6908,battery,0.68632
Samsung Galaxy Tab S7 FE,Smartphone,4.0,waste of money why full picture edge hotel talk,flipkart,2023-02-27,-0.4215,heating,0.5036
Samsung Galaxy M14,Smartphone,4.0,bad people down require painting,AMAZON,2022-05-18,-0.5423,software,0.55192
Samsung Galaxy S22,Smartphone,5.0,average research require pretty despite sort,flipkart,2022-07-26,0.4939,software,0.26
Samsung Galaxy S22,Smartphone,5.0,average such may personal need out international,amazon,2022-03-10,0.0,none,0.06
Samsung Galaxy M34,Smartphone,4.0,not great spend street hand husband actually let nothing,FLIPKART,2024-07-03,-0.0243,none,0.14472
Samsung Buds Live,Accessories,4.0,bad require culture pressure,AMAZON,2022-04-10,-0.6908,software,0.6113200000000001
Samsung Buds Live,Accessories,4.0,waste of money top between why value weight her,AMAZON,2023-05-17,0.1027,general_issue,0.335
Samsung Galaxy S23,Smartphone,1.0,disappointed with the customer service,amazon,2022-04-01,-0.4767,software,0.75068
Samsung Galaxy M53,Smartphone,1.0,excellent usually ten truth car rise these issue overheating issue,AMAZON,2024-04-03,0.7184,heating,0.56
Samsung Charger 25W,Accessories,4.0,excellent sister strong sort space,AMAZON,2024-06-17,0.7906,none,0.135
Samsung Galaxy Book 3,Smartphone,5.0,worth it act american for control good,flipkart,2023-04-25,0.5859,none,0.06
Samsung Galaxy A54,Smartphone,4.0,waste of money fear enter message common likely,FLIPKART,2023-03-21,-0.7184,general_issue,0.62236
Samsung Charger 25W,Accessories,4.0,excellent each show hot smile drug,amazon,2022-04-26,0.7351,heating,0.335
Samsung Galaxy M14,Smartphone,4.0,excellent gas night congress mention,flipkart,2022-10-14,0.5719,none,0.135
Samsung Buds 2,Accessories,2.0,bad action director color knowledge particular music far issue battery draining fast,AMAZON,2024-10-28,-0.5423,battery,0.7019200000000001
Samsung Galaxy Tab S7 FE,Smartphone,3.0,worth it six finish benefit brother chair program make issue overheating issue,amazon,2023-08-16,0.5994,heating,0.41
Samsung Galaxy S21 FE,Smartphone,4.0,worth it ten company miss,amazon,2023-04-25,0.0772,none,0.135
Samsung Galaxy M14,Smartphone,4.0,waste of money side since on save event,amazon,2023-10-16,0.1027,general_issue,0.335
Samsung Galaxy Tab S7 FE,Smartphone,4.0,bad continue economy protect rock hospital case,FLIPKART,2023-10-19,-0.2263,software,0.42552
Samsung Galaxy Book 3,Smartphone,3.0,good issue battery draining fast,amazon,2023-05-01,0.4404,battery,0.41
Samsung Galaxy Tab A8,Smartphone,5.0,worth it family attorney nothing middle,amazon,2023-09-11,0.2263,none,0.06
Samsung Galaxy S22,Smartphone,2.0,bad federal lawyer environmental issue battery draining fast,AMAZON,2022-10-21,-0.5423,battery,0.7019200000000001
Samsung Galaxy Book 2,Smartphone,3.0,average issue slow performance,FLIPKART,2024-12-03,0.0,performance,0.41
Samsung Buds 2,Accessories,2.0,good born drug fear,flipkart,2023-03-29,-0.0772,none,0.31588
Samsung Galaxy A14,Smartphone,4.0,not great force history mean skin various key father,FLIPKART,2024-04-26,-0.5096,none,0.33884000000000003
Samsung Galaxy Tab S7 FE,Smartphone,4.0,average husband sign brother change network,amazon,2023-09-08,0.0,performance,0.335
Samsung Galaxy M34,Smartphone,4.0,excellent give guess necessary anyone future,flipkart,2023-07-18,0.5719,none,0.135
Samsung Galaxy M34,Smartphone,2.0,worth it choice really man investment push not issue camera quality is poor,AMAZON,2022-05-05,-0.296,camera,0.6033999999999999
Samsung Galaxy A34,Smartphone,4.0,average you pick republican they cold should style relationship,FLIPKART,2022-12-25,0.0,none,0.135
Samsung Galaxy S23,Smartphone,2.0,not great debate rich occur card carry benefit find issue display flickering,flipkart,2024-05-24,-0.497,display,0.6838
Samsung Galaxy Book 3,Smartphone,4.0,average establish item state natural realize together,AMAZON,2024-10-12,0.3612,none,0.135
Samsung Galaxy A34,Smartphone,3.0,excellent analysis chance something price issue display flickering,flipkart,2022-04-07,0.6908,display,0.41
Samsung Galaxy M14,Smartphone,1.0,excellent issue overheating issue,flipkart,2023-12-07,0.5719,heating,0.56
Samsung Galaxy Tab A8,Smartphone,4.0,not great conference somebody including pretty traditional research,AMAZON,2024-02-20,-0.0243,none,0.14472
Samsung Washing Machine,Other,1.0,disappointed with the customer service,flipkart,2024-12-10,-0.4767,software,0.75068
Samsung Refrigerator,Other,4.0,build quality feels premium,amazon,2023-10-15,0.0,build_quality,0.335
Samsung Galaxy M53,Smartphone,5.0,not great war skill also,AMAZON,2024-05-02,-0.0382,none,0.07528
Samsung Galaxy Book 2,Smartphone,4.0,good candidate here catch reality yet,AMAZON,2024-04-16,0.4404,none,0.135
Samsung Buds 2,Accessories,2.0,bad issue camera quality is poor,AMAZON,2022-11-02,-0.765,camera,0.7910000000000001
Samsung Buds 2,Accessories,4.0,worth it building life late out,flipkart,2023-09-07,0.2263,battery,0.335
Samsung Galaxy M34,Smartphone,1.0,waste of money practice all fund issue battery draining fast,AMAZON,2024-02-10,-0.4215,battery,0.7286000000000001
Samsung Galaxy A34,Smartphone,1.0,worth it issue battery draining fast,flipkart,2023-01-12,0.2263,battery,0.56
Samsung Galaxy S23,Smartphone,4.0,excellent project sound hair write,FLIPKART,2024-08-27,0.5719,sound,0.335
Samsung Galaxy S23,Smartphone,3.0,nice product but a bit overpriced,FLIPKART,2023-05-09,0.2263,none,0.21
Samsung Galaxy M14,Smartphone,2.0,worth it many then focus point kid issue overheating issue,AMAZON,2023-04-07,0.2263,heating,0.485
Samsung Galaxy S21 FE,Smartphone,5.0,average wide top speech top,AMAZON,2023-09-08,0.3818,none,0.06
Samsung Galaxy S23,Smartphone,3.0,waste of money issue charging problem,FLIPKART,2022-10-23,-0.6705,battery,0.6782000000000001
Samsung Galaxy Book 2,Smartphone,4.0,average one keep once store,AMAZON,2024-08-06,0.0,none,0.135
Samsung Galaxy Book 2,Smartphone,3.0,waste of money reveal trip job mrs painting dog catch,AMAZON,2022-04-29,-0.4215,general_issue,0.5786
Samsung Galaxy Tab A8,Smartphone,5.0,average soon on difference wait treatment church foot,FLIPKART,2024-04-25,0.0,none,0.06
Samsung Galaxy S23,Smartphone,3.0,good issue display flickering,flipkart,2024-05-03,0.4404,display,0.41
Samsung Buds Live,Accessories,5.0,waste of money fly machine west,flipkart,2024-12-21,-0.4215,general_issue,0.42860000000000004
Samsung Galaxy A34,Smartphone,4.0,average couple where out itself assume close,AMAZON,2022-10-02,0.0,software,0.335
Samsung Galaxy A34,Smartphone,4.0,good offer increase push step environmental guy,AMAZON,2024-03-06,0.6369,none,0.135
Samsung Galaxy A54,Smartphone,4.0,featurepacked and smooth experience,amazon,2023-05-13,0.0,none,0.135
Samsung Galaxy A14,Smartphone,3.0,not great collection town production,AMAZON,2023-06-07,-0.5096,none,0.41384000000000004
Samsung Galaxy M53,Smartphone,4.0,excellent town alone grow business any worry,FLIPKART,2023-02-21,-0.0516,none,0.15564
Samsung Galaxy M14,Smartphone,3.0,worth it city half forward,AMAZON,2023-11-08,0.2263,none,0.21
Samsung Charger 25W,Accessories,3.0,bad issue charging problem,amazon,2022-06-11,-0.7351,battery,0.70404
Samsung Galaxy S22,Smartphone,5.0,waste of money show instead total inside security baby congress,amazon,2024-07-10,-0.1027,general_issue,0.30108
Samsung Galaxy Buds2,Smartphone,1.0,not as expected returning it,AMAZON,2024-01-30,0.0,none,0.36
Samsung Buds Live,Accessories,4.0,not great factor hard among,flipkart,2022-07-09,-0.4585,none,0.3184
Samsung Galaxy Tab A8,Smartphone,5.0,average number clear certainly memory ever tv accept name,AMAZON,2025-01-01,0.7845,none,0.06
Samsung Galaxy M14,Smartphone,1.0,bad box deep development dream issue charging problem,AMAZON,2023-01-26,-0.6369,battery,0.8147600000000002
Samsung Galaxy M34,Smartphone,3.0,waste of money example serve why hair reason between,flipkart,2022-04-16,-0.4215,general_issue,0.5786
Samsung Galaxy S23,Smartphone,3.0,average try attention benefit reach drop above table issue display flickering,FLIPKART,2023-07-04,0.25,display,0.41
Samsung Galaxy M34,Smartphone,5.0,not great along tax reduce put fine type,FLIPKART,2024-02-12,-0.3599,none,0.20396
Samsung Buds 2,Accessories,2.0,good into science hard fire receive trade artist challenge,amazon,2022-03-22,0.1027,none,0.285
Samsung Galaxy Book 3,Smartphone,4.0,good impact while society since look participant treatment,flipkart,2022-05-30,0.4404,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,5.0,average republican international start do yet place night,flipkart,2023-01-21,0.0,none,0.06
Samsung Galaxy S22,Smartphone,4.0,not great impact goal several network risk hour,AMAZON,2023-03-21,-0.6591,connectivity,0.5986400000000001
Samsung Buds 2,Accessories,4.0,not great question back factor always board,AMAZON,2024-09-08,-0.5096,none,0.33884000000000003
Samsung Galaxy M14,Smartphone,3.0,worth it issue camera quality is poor,AMAZON,2023-03-04,-0.296,camera,0.5284
Samsung Galaxy S22,Smartphone,2.0,average issue slow performance,amazon,2023-11-13,0.0,performance,0.485
Samsung Galaxy A14,Smartphone,4.0,excellent direction girl bed,FLIPKART,2023-09-13,0.5719,none,0.135
Samsung Galaxy Tab A8,Smartphone,1.0,good daughter force marriage break including,AMAZON,2022-02-01,0.4404,none,0.36
Samsung Galaxy A54,Smartphone,1.0,not great economy poor assume test issue slow performance,amazon,2023-03-10,-0.1877,performance,0.6350800000000001
Samsung Galaxy Book 2,Smartphone,4.0,worth it boy color statement them brother painting,amazon,2023-01-25,0.2263,none,0.135
Samsung Buds 2,Accessories,3.0,bad issue display flickering,amazon,2022-08-29,-0.5423,display,0.6269200000000001
Samsung Galaxy M53,Smartphone,5.0,average without will go my reality month,FLIPKART,2024-09-07,0.0,none,0.06
Samsung Galaxy A14,Smartphone,1.0,worth it issue battery draining fast,amazon,2023-05-12,0.2263,battery,0.56
Samsung Galaxy Tab A8,Smartphone,4.0,not great manager president site size herself,AMAZON,2023-02-23,-0.5096,none,0.33884000000000003
Samsung Galaxy Book 2,Smartphone,5.0,good not across challenge act,amazon,2024-03-23,0.3975,software,0.26
Samsung Buds 2,Accessories,4.0,not great blood next yard thought,FLIPKART,2023-05-06,-0.5096,none,0.33884000000000003
Samsung Buds Live,Accessories,3.0,waste of money develop year scientist small issue slow performance,AMAZON,2023-10-21,-0.4215,performance,0.5786
Samsung Galaxy A34,Smartphone,2.0,bad hair language nature nothing issue overheating issue,amazon,2023-08-03,-0.5423,heating,0.7019200000000001
Samsung Galaxy Tab S7 FE,Smartphone,4.0,bad three cultural great good outside,amazon,2024-02-19,0.5423,general_issue,0.335
Samsung Buds 2,Accessories,5.0,good,AMAZON,2024-08-12,0.4404,none,0.06
Samsung Galaxy Book 3,Smartphone,3.0,not great movie dog dream environment bill cell laugh,AMAZON,2024-12-28,0.3195,none,0.21
Samsung Galaxy M34,Smartphone,2.0,excellent issue charging problem,FLIPKART,2024-01-06,0.25,battery,0.485
Samsung Galaxy Book 3,Smartphone,5.0,bad lay table no,amazon,2023-09-24,-0.6908,general_issue,0.53632
Samsung Galaxy Book 2,Smartphone,5.0,excellent hold drive recently bag,flipkart,2023-06-20,0.5719,none,0.06
Samsung Galaxy S22,Smartphone,4.0,waste of money low save section cultural,AMAZON,2024-01-07,-0.1779,general_issue,0.40616
Samsung Galaxy M34,Smartphone,3.0,not great member threat here once green throughout break,amazon,2024-11-16,-0.1326,none,0.26304
Samsung Galaxy S23,Smartphone,4.0,good civil of suffer through guess card,amazon,2024-10-15,-0.1531,none,0.19624
Samsung Galaxy S23,Smartphone,4.0,excellent perform again win,flipkart,2024-08-12,0.8176,none,0.135
Samsung Galaxy S21 FE,Smartphone,4.0,average major after occur truth,amazon,2022-07-21,0.3182,none,0.135
Samsung Galaxy S21 FE,Smartphone,4.0,good whole professor defense,FLIPKART,2024-08-19,0.5267,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,4.0,excellent after lead especially soon break yes,flipkart,2023-10-18,0.7693,none,0.135
Samsung Galaxy A54,Smartphone,4.0,bad company already instead,flipkart,2023-02-21,-0.5423,general_issue,0.55192
Samsung Buds 2,Accessories,4.0,excellent particularly beyond enjoy value,FLIPKART,2024-01-30,0.8703,none,0.135
Samsung Galaxy A54,Smartphone,5.0,average deep girl television yes argue among huge,amazon,2023-10-03,0.3818,none,0.06
Samsung Galaxy Book 2,Smartphone,4.0,waste of money issue watch job matter,FLIPKART,2024-04-27,-0.4019,general_issue,0.49576000000000003
Samsung Galaxy A34,Smartphone,4.0,bad former color center others during reflect,amazon,2022-04-04,-0.5423,general_issue,0.55192
Samsung Galaxy S23,Smartphone,4.0,good mr change offer gas,amazon,2023-03-30,0.4404,performance,0.335
Samsung Buds 2,Accessories,4.0,excellent rich college serious special,flipkart,2022-10-26,0.8658,none,0.135
Samsung Galaxy Tab A8,Smartphone,5.0,average without including government better many old enter trial,AMAZON,2022-02-03,-0.3412,none,0.19648000000000002
Samsung Galaxy A54,Smartphone,2.0,amazing display quality,FLIPKART,2023-06-19,0.5859,display,0.485
Samsung Galaxy S23,Smartphone,5.0,good measure right situation nation,AMAZON,2024-05-05,0.4404,none,0.06
Samsung Galaxy A54,Smartphone,5.0,delivery was delayed but the product is great,flipkart,2023-08-28,0.7351,performance,0.26
Samsung Galaxy M53,Smartphone,4.0,bad election sit or character develop,flipkart,2022-11-09,-0.5423,general_issue,0.55192
Samsung Galaxy Tab A8,Smartphone,3.0,worth it issue slow performance,amazon,2023-02-06,0.2263,performance,0.41
Samsung Buds Live,Accessories,5.0,excellent music one seat,amazon,2023-11-07,0.5719,none,0.06
Samsung Galaxy S22,Smartphone,4.0,average society factor seven western time painting,amazon,2023-04-17,0.0,none,0.135
Samsung Galaxy A34,Smartphone,1.0,good top option trade issue camera quality is poor,FLIPKART,2024-02-17,0.1531,camera,0.56
Samsung Galaxy A34,Smartphone,5.0,waste of money some defense security choose situation year,amazon,2023-05-19,0.0258,software,0.26
Samsung Galaxy A14,Smartphone,4.0,excellent four design street meeting window draw,amazon,2024-10-19,0.5719,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,3.0,good traditional quite eight thing night put issue overheating issue,AMAZON,2023-11-23,0.4404,heating,0.41
Samsung Galaxy S23,Smartphone,3.0,not as expected returning it,AMAZON,2023-06-12,0.0,none,0.21
Samsung Galaxy A14,Smartphone,4.0,excellent without pick early history single return,amazon,2024-09-27,0.5719,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,4.0,waste of money argue far different social current happy appear,FLIPKART,2024-10-01,-0.128,software,0.38620000000000004
Samsung Buds 2,Accessories,4.0,good agent help imagine,AMAZON,2024-08-01,0.6808,none,0.135
Samsung Galaxy S22,Smartphone,1.0,waste of money within individual fear every issue battery draining fast,flipkart,2022-12-11,-0.7184,battery,0.8473600000000001
Samsung Galaxy Tab A8,Smartphone,2.0,excellent issue display flickering,amazon,2023-12-23,0.5719,display,0.485
Samsung Galaxy A14,Smartphone,4.0,waste of money floor hope interview admit,AMAZON,2022-12-13,0.2263,general_issue,0.335
Samsung Charger 25W,Accessories,3.0,good southern modern wall than everyone bill husband,AMAZON,2022-10-14,0.4404,none,0.21
Samsung Galaxy M34,Smartphone,4.0,average upon response owner near life,amazon,2024-09-27,0.0,battery,0.335
Samsung Buds Live,Accessories,3.0,waste of money bank opportunity per truth,amazon,2023-01-12,0.3182,general_issue,0.41
Samsung Galaxy S21 FE,Smartphone,1.0,not great rule station garden set water fall,AMAZON,2022-05-01,-0.5096,none,0.5638400000000001
Samsung Galaxy S22,Smartphone,1.0,love the camera quality,amazon,2024-12-09,0.6369,camera,0.56
Samsung Galaxy Tab A8,Smartphone,1.0,bad party make power movie issue display flickering,AMAZON,2022-03-11,-0.2023,battery,0.6409199999999999
Samsung Buds Live,Accessories,3.0,bad according prove interview loss involve fact,amazon,2022-06-02,-0.7003,software,0.6901200000000001
Samsung Galaxy S23,Smartphone,1.0,good contain authority kitchen,amazon,2022-04-10,0.4939,none,0.36
Samsung Buds 2,Accessories,3.0,average people lead huge still,amazon,2022-01-14,0.3182,none,0.21
Samsung Air Conditioner,Other,5.0,very userfriendly interface,amazon,2024-04-24,0.0,software,0.26
Samsung Galaxy S21 FE,Smartphone,5.0,excellent town tonight consumer military,AMAZON,2022-10-09,0.5719,none,0.06
Samsung Galaxy A54,Smartphone,5.0,waste of money store can station toward seat best federal,FLIPKART,2023-04-19,0.34,general_issue,0.26
Samsung Galaxy Tab S7 FE,Smartphone,3.0,waste of money issue battery draining fast,flipkart,2022-05-20,-0.4215,battery,0.5786
Samsung Galaxy M14,Smartphone,5.0,good maintain foreign once half than,FLIPKART,2022-11-06,0.4404,none,0.06
Samsung Galaxy A14,Smartphone,4.0,bad clear might report every player arm,AMAZON,2022-01-19,-0.2263,general_issue,0.42552
Samsung Galaxy M53,Smartphone,2.0,excellent issue display flickering,FLIPKART,2023-03-24,0.5719,display,0.485
Samsung Galaxy S22,Smartphone,5.0,not great sort dog long,AMAZON,2024-11-01,-0.5096,none,0.26384
Samsung Charger 25W,Accessories,2.0,worth it hand turn by future research color possible few issue camera quality is poor,amazon,2024-07-22,0.25,camera,0.485
Samsung Galaxy S23,Smartphone,3.0,not great various thousand since accept environmental short president fish issue battery draining fast,flipkart,2024-02-04,-0.1764,battery,0.48056
Samsung Buds 2,Accessories,1.0,waste of money man front process exactly everything issue display flickering,AMAZON,2022-05-04,-0.4215,display,0.7286000000000001
Samsung Galaxy M34,Smartphone,4.0,worth it,flipkart,2024-09-16,0.2263,none,0.135
Samsung Galaxy Book 2,Smartphone,4.0,worth it,flipkart,2024-09-26,0.2263,none,0.135
Samsung Galaxy Book 3,Smartphone,4.0,worth it dark everybody play field plant foreign black hold,flipkart,2022-02-02,0.5106,none,0.135
Samsung Buds Live,Accessories,4.0,excellent mind stage road popular western hold benefit,AMAZON,2022-01-14,0.8591,none,0.135
Samsung Buds 2,Accessories,3.0,bad issue battery draining fast,AMAZON,2024-12-25,-0.5423,battery,0.6269200000000001
Samsung Galaxy Tab A8,Smartphone,5.0,excellent recent oil ready everybody entire involve,flipkart,2024-04-22,0.7351,none,0.06
Samsung Galaxy Tab A8,Smartphone,2.0,worth it issue battery draining fast,AMAZON,2022-01-25,0.2263,battery,0.485
Samsung Galaxy S21 FE,Smartphone,5.0,worth it station social everyone fish even,amazon,2022-02-04,0.2263,none,0.06
Samsung Galaxy M53,Smartphone,4.0,waste of money few agreement all others,amazon,2024-12-20,0.1027,general_issue,0.335
Samsung Galaxy A54,Smartphone,3.0,excellent power girl game behind still though soldier,flipkart,2023-07-17,0.5719,battery,0.41
Samsung Galaxy Tab A8,Smartphone,1.0,bad wife point even bar issue camera quality is poor,amazon,2023-08-11,-0.765,camera,0.8660000000000001
Samsung Charger 25W,Accessories,3.0,average seek both address travel town such interesting issue camera quality is poor,AMAZON,2022-02-05,-0.1027,camera,0.45108
Samsung Galaxy S23,Smartphone,5.0,average information glass relate south create share,amazon,2024-10-25,0.5106,none,0.06
Samsung Charger 25W,Accessories,4.0,good far artist range,flipkart,2024-05-31,0.4404,none,0.135
Samsung Galaxy M53,Smartphone,2.0,bad indeed stage away summer vote major also,flipkart,2023-01-03,-0.5423,general_issue,0.7019200000000001
Samsung Soundbar,Other,2.0,excellent product very satisfied,AMAZON,2022-08-08,0.7778,none,0.285
Samsung Charger 25W,Accessories,3.0,good share operation baby involve ready again issue display flickering,amazon,2022-07-17,0.765,display,0.41
Samsung Galaxy S22,Smartphone,4.0,good matter magazine page decade,AMAZON,2024-12-09,0.4588,none,0.135
Samsung Charger 25W,Accessories,5.0,good lose record arm week son,flipkart,2022-11-01,0.0516,software,0.26
Samsung Galaxy Buds2,Smartphone,3.0,love the camera quality,FLIPKART,2023-05-09,0.6369,camera,0.41
Samsung Galaxy M53,Smartphone,4.0,good democratic always product agree purpose guess,FLIPKART,2023-01-29,0.6597,software,0.335
Samsung Galaxy Tab S7 FE,Smartphone,2.0,good fire environmental last modern food issue display flickering,AMAZON,2024-12-14,0.128,display,0.485
Samsung Galaxy A14,Smartphone,1.0,good natural now hand life issue slow performance,AMAZON,2023-06-01,0.8225,battery,0.56
Samsung Galaxy M53,Smartphone,2.0,average issue display flickering,AMAZON,2023-12-27,0.0,display,0.485
Samsung Soundbar,Other,3.0,disappointed with the customer service,FLIPKART,2023-07-02,-0.4767,software,0.6006800000000001
Samsung Charger 25W,Accessories,4.0,average manage such by agency,amazon,2024-03-23,0.0,none,0.135
Samsung Crystal UHD TV,TV,2.0,build quality feels premium,amazon,2022-06-11,0.0,build_quality,0.485
Samsung Buds 2,Accessories,5.0,average sing stop attorney,flipkart,2024-02-04,-0.296,none,0.1784
Samsung Galaxy M53,Smartphone,3.0,excellent culture rise way pressure build,FLIPKART,2024-04-11,0.3612,build_quality,0.41
Samsung Buds Live,Accessories,1.0,not great green technology receive their,amazon,2024-07-29,-0.5096,none,0.5638400000000001
Samsung Galaxy M14,Smartphone,3.0,bad choose pay cause situation occur instead sing series issue slow performance,flipkart,2023-05-14,-0.5994,performance,0.6497600000000001
Samsung Galaxy M14,Smartphone,3.0,good sometimes suddenly bad spend trial admit issue battery draining fast,FLIPKART,2023-04-08,0.0516,battery,0.41
Samsung Galaxy S22,Smartphone,4.0,good board law man option,flipkart,2023-09-07,0.4404,none,0.135
Samsung Galaxy M34,Smartphone,4.0,waste of money article heart style throughout war,flipkart,2022-06-15,-0.7717,general_issue,0.64368
Samsung Galaxy S23,Smartphone,4.0,not great person ahead shake put,amazon,2022-03-06,-0.6116,none,0.37964000000000003
Samsung Galaxy M14,Smartphone,5.0,waste of money build particular growth method store memory full,amazon,2022-07-11,-0.0516,build_quality,0.28064
